z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
18,18,Ar,3.3905,0.0023,0.3336,0.021,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1,0.4,0.11,0.06,-12814.3607,0.3259,-27129.9671,0.513,-6640.921,0.027,-709.534,0.045,15255.5716,0.6808,8506.9817,0.0446,8519.9096,0.0008,35967545.11,0.028,-30231.542,0.027,N,1920,31-Dec-11,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,10/18/23
18,20,Ar,3.4028,0.0019,0.0629,0.007,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.48,0.24,,,-5914.0671,0.0448,-17985.9435,0.2164,-7208.0532,0.2,-4916.711,0.218,11838.466,0.2841,10242.2461,0.2017,8614.2807,0.0051,37962732.1,0.209,-34714.827,0.195,N,1934,30-Sep-17,JUN CHEN,10/18/23
18,22,Ar,3.4274,0.0026,99.6035,0.025,,0,,,0+,STABLE,,,,,,,,,,,,,,,,-0.04,0.06,0.01,0.04,-1504.4031,0.0559,-9304.0227,0.004,-6800.675,0.1881,-7482.082,32.066,9869.0227,5,12528.6531,1.7321,8595.2594,0.0002,39962383.12,0.00234,-35039.89997,0.00218,N,1920,30-Sep-15,JUN CHEN,10/18/23
19,20,K,3.4349,0.0019,93.2581,0.0044,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.39147,0.000008,0.603,0.006,-6524.4888,0.5962,-19820.0101,0.1944,-7218.5796,0.0358,-565,5,13077.7537,0.1953,6381.3397,0.195,8557.0258,0.0003,38963706.48,0.00489,-33807.19535,0.00456,N,1921,1-Jan-18,JUN CHEN,10/18/23
19,22,K,3.4518,0.0055,6.7302,0.0044,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.214872,0.000005,0.734,0.007,-421.6406,0.1377,-8784.4649,0.0208,-6222.913,0.0519,-2492.039,0.347,10095.37,0.056,7808.6199,0.0031,8576.0731,0.0003,40961825.26,0.00403,-35559.5488,0.00376,N,1921,30-Sep-15,C.D. Nesaraja and  E.A. McCutchan,10/18/23
20,20,Ca,3.4776,0.0019,96.941,0.156,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.6,0.3,,,-14323.0493,2.8281,-28744.9938,24,-7039.7755,0.0339,-1310.905,0.059,15635.0134,0.5965,8328.1776,0.021,8551.3046,0.0006,39962590.85,0.022,-34846.402,0.02,N,1922,30-Sep-15,JUN CHEN,10/18/23
20,22,Ca,3.5081,0.0021,0.647,0.023,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.08,0.12,-0.19,0.08,-6426.2904,0.0485,-17976.2514,0.1579,-6257.3824,0.245,-3525.262,0.182,11480.7032,0.0556,10276.7156,0.1485,8616.5646,0.0035,41958617.78,0.159,-38547.293,0.148,N,1934,31-May-16,JUN CHEN{+#} AND BALRAJ SINGH,10/18/23
20,23,Ca,3.4954,0.0019,0.135,0.01,,0,,,7/2-,STABLE,,,,,,,,,,,,,,,,-1.31733,0.00006,-0.0408,0.0008,-2220.7227,1.865,-14359.1877,0.1797,-7591.5931,5.0052,-1833.479,0.469,7932.8974,0.1731,10675.813,0.2509,8600.6653,0.0053,42958766.38,0.244,-38408.873,0.227,N,1934,31-Mar-15,BALRAJ SINGH AND JUN CHEN{+#},10/18/23
20,24,Ca,3.5179,0.0021,2.086,0.11,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-3652.6948,1.7565,-13351.8979,1.8795,-8853.7456,0.3247,-5687.232,0.53,11131.1752,0.2345,12182.3064,0.5229,8658.1769,0.0074,43955481.49,0.348,-41468.73,0.325,N,1922,31-Jul-11,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,10/18/23
20,26,Ca,3.4953,0.002,0.004,0.003,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-1377.9665,2.3305,-10138.6065,2.3282,-11141.8475,6.1923,-7725.681,2.349,10398.6975,2.2634,13812.9373,2.2939,8668.9848,0.0486,45953687.73,2.398,-43139.61,2.234,N,1938,15-Jul-00,S. -C. WU,10/18/23
