z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
46,62,Pd,4.5563,0.0027,26.46,0.09,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.69,0.04,-0.58,0.04,-1917.4238,2.6323,-9188.8337,2.6268,-3853.3677,2.733,-4493.059,14.041,9222.8795,1.6342,9949.4752,12,8567.0241,0.0103,107903891.8,1.189,-89524.215,1.108,N,1935,1-Jul-08,Jean Blachot,10/18/23
46,64,Pd,4.5782,0.003,11.72,0.09,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-873.5982,1.3777,-7682.7918,1.3784,-4432.5678,5.4253,-5502.211,17.816,8795.7387,1.2563,10620.6245,4.0252,8547.163,0.0056,109905172.9,0.657,-88330.904,0.612,N,1935,1-Aug-11,G. G~URDAL and F.G. KONDEV,10/18/23
47,60,Ag,4.5454,0.0031,51.839,0.008,,0,,,1/2-,STABLE,,,,,,,,,,,,,,,,-0.11352,0.00005,0.98,0.11,-1416.3741,2.5654,-9345.8648,2.3282,-2799.91,3.3105,-34.046,2.668,9535.6183,3.5558,5788.1278,2.3272,8553.9012,0.0223,106905091.5,2.556,-88406.7,2.382,N,1924,1-Mar-08,Jean Blachot,10/18/23
47,62,Ag,4.5638,0.0025,48.161,0.008,,0,,,1/2-,STABLE,,,,,,,,,,,,,,,,0.13051,0.00005,1.02,0.12,-215.1002,1.7795,-7538.3261,1.4835,-3293.0765,2.8131,-1112.947,1.702,9183.9572,2.7124,6484.1864,1.4022,8547.9155,0.0118,108904755.8,1.381,-88719.431,1.287,N,1924,31-May-16,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,10/18/23
48,58,Cd,4.5383,0.0036,1.245,0.022,,0,,,0+,STABLE,,,,,,2B+,,,,,,,,,,0.9,0.2,-0.28,0.08,-6524.0031,12.1765,-15562.8888,10.3057,-1654.1057,1.175,-189.754,3.212,10869.6215,1.773,7350.2755,4.6612,8539.0492,0.0104,105906459.8,1.184,-87132.153,1.104,N,1935,1-May-07,D. DE FRENNE AND A. NEGRET,10/18/23
48,60,Cd,4.5577,0.0031,0.888,0.011,,0,,,0+,STABLE,,,,,,,,,,,,,,,,-2.5,0.8,,,-5132.5944,8.5845,-13757.0738,9.7188,-2282.2156,1.7455,-1645.631,2.639,10333.4152,2.0042,8134.6941,2.6331,8550.0196,0.0104,107904183.6,1.205,-89252.423,1.123,N,1935,1-Jul-08,Jean Blachot,10/18/23
48,62,Cd,4.5765,0.0026,12.47,0.061,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.81,0.06,-0.4,0.04,-3878,11.547,-11929.7618,3.9907,-2865.3425,1.1689,-2890.663,1.341,9914.9571,1.5698,8917.5099,1.2778,8551.2755,0.0035,109903007.5,0.407,-90347.969,0.38,N,1925,1-Aug-11,G. G~URDAL and F.G. KONDEV,10/18/23
48,63,Cd,4.5845,0.0058,12.795,0.012,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,-0.594,0.0003,0.64,0.03,-860.1972,3.417,-10853.5956,11.5482,-3304.5091,1.2534,-1036.8,1.5,6975.5956,0.1655,9083.9119,1.2806,8537.0801,0.0032,110904183.8,0.383,-89252.247,0.357,N,1925,1-Feb-08,Jean Blachot,10/18/23
48,64,Cd,4.5944,0.0024,24.109,0.007,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.72,0.05,-0.37,0.04,-2584.7306,4.2434,-10254.1256,3.4264,-3475.5579,1.1279,-3991.128,2.435,9393.9283,0.283,9648.3813,1.4422,8544.7306,0.0022,111902763.9,0.268,-90574.857,0.25,N,1925,1-Aug-14,S. LALKOVSKI and  F.G. KONDEV,10/18/23
48,66,Cd,4.6087,0.0023,28.754,0.081,,0,,,0+,STABLE,,,,,,2B-,100,,,,,,,,,0.65,0.04,-0.348,0.012,-1445.1268,0.3817,-8719.1286,0.2957,-4108.9454,0.6343,-5084.123,4.572,9042.9656,0.1366,10277.0801,16.6416,8531.5135,0.0024,113903365,0.296,-90014.934,0.276,N,1925,1-Jan-12,Jean Blachot,10/18/23
49,64,In,4.601,0.0031,4.281,0.052,,0,,,9/2+,STABLE,,,,,,,,,,,,,,,,5.5208,0.0004,0.761,0.005,-1038.9941,1.5733,-8783.3923,0.2848,-3072.6086,1.2925,-323.837,0.309,9448.3147,4.25,6081.2372,0.2387,8522.9297,0.0017,112904060.5,0.202,-89367.123,0.188,N,1934,1-May-09,Jean Blachot,10/18/23
50,62,Sn,4.5948,0.0022,0.97,0.01,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.3,0.08,0.04,0.09,-7056.076,17.8317,-15889.6206,8.8541,-1827.5424,1.1545,-664.922,4.261,10787.7866,5.3283,7551.9704,3.4299,8513.6189,0.0026,111904824.9,0.315,-88655.049,0.294,N,1927,1-Aug-14,S. LALKOVSKI and  F.G. KONDEV,10/18/23
50,64,Sn,4.6099,0.002,0.66,0.01,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.22,0.05,0.09,0.08,-6063.1189,19.7724,-14214.0878,17.1929,-2636.6816,0.3805,-1989.928,0.302,10302.924,1.5749,8481.5829,0.1898,8522.5671,0.0004,113902780.1,0.031,-90559.735,0.029,N,1927,1-Jan-12,Jean Blachot,10/18/23
50,65,Sn,4.6148,0.0019,0.34,0.01,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,-0.9174,0.0004,-0.26,0.03,-3030.4336,16.0253,-13608.5475,19.7724,-3206.5145,0.3575,-497.489,0.019,7545.4285,0.025,8753.0096,0.3011,8514.0702,0.0003,114903344.7,0.016,-90033.846,0.015,N,1927,1-Sep-12,JEAN BLACHOT,10/18/23
50,66,Sn,4.625,0.0019,14.54,0.09,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.01,0.04,0.17,0.08,-4703.9591,5.154,-12593.8847,16.0256,-3376.0374,0.2664,-3276.221,0.24,9563.4512,0.0948,9278.5934,0.0953,8523.1166,0.0009,115901742.8,0.103,-91525.979,0.096,N,1922,1-Dec-09,Jean Blachot,10/18/23
50,67,Sn,4.6302,0.0019,7.68,0.07,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,-0.9995,0.0005,-0.42,0.05,-1758.1788,8.4449,-11647.0407,5.1764,-3779.3719,0.5399,-1454.707,4.905,6943.0816,0.4743,9436.955,0.5309,8509.612,0.0041,116902954,0.518,-90397.742,0.483,N,1923,1-Mar-09,JEAN BLACHOT,10/18/23
50,68,Sn,4.6393,0.0019,24.22,0.09,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-3656.6393,2.9745,-11084.5975,8.4458,-4062.825,0.5688,-4424.666,7.768,9326.4187,0.1299,9998.779,4.8582,8516.5341,0.0042,117901606.6,0.536,-91652.843,0.499,N,1924,1-Feb-93,K. KITAO,10/18/23
50,69,Sn,4.6438,0.002,8.59,0.04,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,-1.0459,0.0005,-0.132,0.001,-589.4452,6.9937,-10140.0989,3.0241,-4405.4207,0.9735,-2366.327,7.346,6483.4596,0.5455,10125.779,7.7203,8499.4494,0.0061,118903311.3,0.778,-90064.985,0.725,N,1925,1-Dec-08,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,10/18/23
50,70,Sn,4.6519,0.0021,32.58,0.09,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-2680.6076,7.1399,-9693.5194,7.0529,-4810.1677,0.9324,-5370,40,9104.0742,1.1098,10688.0535,7.2528,8504.488,0.0077,119902202.6,0.987,-91097.741,0.92,N,1926,1-Dec-01,K. KITAO and  Y. TENDOW AND A. HASHIZUME,10/18/23
50,72,Sn,4.6634,0.0022,4.63,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,-0.09,0.04,-0.08,0.09,-1605.7483,3.2135,-8412.1142,3.216,-5663.2197,20.1498,-6368.592,50.12,8814.6449,2.3436,11394.331,27.3094,8487.8968,0.0201,121903445.5,2.627,-89939.953,2.448,N,1928,30-Sep-06,T. TAMURA,10/18/23
50,74,Sn,4.6735,0.0023,5.79,0.05,,0,,,0+,STABLE,,,,,,,,,,,,,,,,-0.19,0.02,-0.08,0.09,-612.4067,0.4101,-7079.903,0.4053,-6699.026,3.9507,-7363.697,30.589,8488.1109,2.3979,12091.4128,19.8311,8467.3997,0.0106,123905279.6,1.41,-88231.475,1.314,N,1922,1-Apr-08,J. KATAKURA and  Z.D. WU,10/18/23
51,70,Sb,4.6802,0.0026,57.21,0.05,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,3.358,0.0016,-0.543,0.011,-1056.0462,25.7587,-8308.3145,2.4003,-3081.0375,5.4839,-402.531,2.69,9253.3416,7.5665,5790.387,2.5046,8482.0574,0.0207,120903811.4,2.69,-89599.157,2.506,N,1922,20-Jan-09,S. OHYA,10/18/23
51,72,Sb,4.6879,0.0025,42.79,0.05,,0,,,7/2+,STABLE,,,,,,,,,,,,,,,,2.5457,0.0012,-0.692,0.014,-51.9128,0.0661,-6980.9267,0.1034,-3949.148,7.3794,-1408.207,2.826,8960.004,2.1275,6571.9087,2.4248,8472.3196,0.011,122904215.3,1.456,-89222.89,1.356,N,1922,15-Apr-21,Jun Chen,10/18/23
52,68,Te,4.7038,0.0088,0.09,0.01,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.58,0.11,-0.41,0.03,-5615,15,-13655.7469,21.7769,-261.0973,1.7537,-945.027,7.409,10250.9389,7.4836,7175.5919,7.2114,8476.9857,0.0146,119904065.8,1.88,-89362.16,1.751,N,1936,1-Dec-01,K. KITAO and  Y. TENDOW AND A. HASHIZUME,10/18/23
52,70,Te,4.7095,0.0031,2.55,0.12,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.7,0.03,-0.57,0.05,-4234,5,-12138.9508,4.5236,-1085.3546,1.4351,-1979.077,2.847,9841.4893,25.8004,8003.0962,2.1304,8478.1315,0.0111,121903044.7,1.456,-90313.282,1.357,N,1932,30-Sep-06,T. TAMURA,10/18/23
52,72,Te,4.7183,0.0029,4.74,0.14,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.66,0.04,-0.45,0.05,-3159.587,1.8593,-10652.8719,3.4461,-1851.3168,1.3595,-2905.073,1.916,9424.4821,0.0949,8590.2223,0.1156,8473.2705,0.0109,123902818.3,1.451,-90524.142,1.352,N,1932,1-Apr-08,J. KATAKURA and  Z.D. WU,10/18/23
52,73,Te,4.7204,0.003,7.07,0.15,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,-0.887,0.0005,-0.31,0.02,-185.77,0.06,-9728.5572,1.8596,-2250.0837,1.3946,-766.7,2.8,6568.9703,0.03,8691.6962,0.1351,8458.0361,0.0108,124904431.2,1.451,-89021.794,1.352,N,1931,1-Jan-10,J. KATAKURA,10/18/23
52,74,Te,4.7266,0.0032,18.84,0.25,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-2153.6712,3.6717,-9299.4618,0.1,-2549.1306,2.424,-3671.033,31.876,9113.6918,0.08,9098.0448,2.1228,8463.2397,0.0107,125903312.1,1.453,-90064.168,1.354,N,1924,1-Oct-21,H. Iimura and  J.Katakura and  S. Ohya,10/18/23
53,74,I,4.75,0.0081,100,,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,2.8087,0.0014,-0.688,0.01,-662.3336,2.0442,-7908.1479,3.6209,-2185.2421,3.5651,-702.72,3.87,9144.0384,2.7399,6208.0202,3.563,8445.482,0.0285,126904472.6,3.887,-88983.217,3.621,N,1920,1-Oct-09,A. HASHIZUME,10/18/23
54,72,Xe,4.7722,0.0052,0.089,0.003,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.54,0.08,,,-4795.7039,10.3587,-13127.9627,7.7359,-1258.0209,1.3571,-1235.891,3.778,10018.3442,1.4148,7599.3341,1.3532,8443.5375,0.0003,125904297.4,0.006,-89146.38687,0.00562,N,1922,1-Oct-21,H. Iimura and  J.Katakura and  S. Ohya,10/18/23
54,74,Xe,4.7774,0.005,1.91,0.013,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.68,0.07,,,-3928.7617,5.3762,-11691.8254,5.5775,-1761.3085,1.3517,-2122.504,3.621,9610.9692,4.0881,8166.2886,3.6209,8443.3008,0.0003,127903530.8,0.00558,-89860.53427,0.0052,N,1922,28-Feb-15,ZOLTAN ELEKES AND JANOS TIMAR,10/18/23
54,75,Xe,4.7775,0.005,26.401,0.138,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,-0.777961,0.000016,-0.393,0.01,-1197.0197,4.5532,-10835.6152,5.3762,-2099.1917,1.3519,-188.894,3.153,6906.8535,0.0015,8247.0107,3.6211,8431.3904,0.0003,128904780.9,0.00542,-88696.06975,0.00505,N,1920,31-May-14,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,10/18/23
54,76,Xe,4.7818,0.0049,4.071,0.022,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.9,0.2,-0.38,0.16,-2980.7199,8.3567,-10452.7424,4.5532,-2241.2226,1.3536,-2944.286,3.154,9255.7227,0.008,8662.2693,3.1534,8437.7314,0.0003,129903509.3,0.01,-89880.474,0.009,N,1922,11-May-01,BALRAJ SINGH,10/18/23
54,77,Xe,4.7808,0.0049,21.232,0.051,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.691845,0.000007,-0.114,0.001,-358.0009,0.1771,-9585.1385,8.3567,-2557.994,1.365,-970.848,0.605,6604.4186,0.008,8766.358,3.1537,8423.7367,0.0003,130905084.1,0.00549,-88413.57492,0.00512,N,1920,17-Jul-06,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,10/18/23
54,78,Xe,4.7859,0.0048,26.909,0.055,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.2,0.4,,,-2126.2813,1.0359,-9294.7185,0.1771,-2710.0969,0.7064,-3575.473,4.065,8936.7176,0.0016,9125.2183,0.6046,8427.6229,0.0003,131904155.1,0.00544,-89278.97451,0.00507,N,1920,10-Feb-05,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,10/18/23
55,78,Cs,4.8041,0.0046,100,,,0,,,7/2+,STABLE,,,,,,,,,,,,,,,,2.5778,0.0014,-0.00343,0.0001,-517.431,0.992,-7707.358,1.0532,-1988.6828,3.1534,-427.36,2.4,8989.5679,1.0359,6080.9396,0.0066,8409.9786,0.0003,132905452,0.008,-88070.943,0.008,N,1921,31-Oct-10,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,10/18/23
56,74,Ba,4.8283,0.0047,0.11,0.01,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-5629.4021,25.9477,-14004.5534,21.3445,-535.3054,0.2872,-357.022,8.362,10267.2287,10.5037,7046.6974,4.5615,8405.513,0.0022,129906326,0.308,-87256.776,0.287,N,1936,11-May-01,BALRAJ SINGH,10/18/23
56,78,Ba,4.8322,0.0047,2.42,0.15,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-3731.3434,19.9312,-11526.9285,27.9459,-1494.4436,0.2508,-2058.837,0.252,9467.8082,1.0232,8168.0302,0.2507,8408.1731,0.0019,133904508.2,0.269,-88950.002,0.251,N,1936,31-Jul-04,A.A. Sonzogni,10/18/23
56,79,Ba,4.8294,0.0047,6.59,0.1,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.8381,0.0002,0.153,0.002,-1207.1973,9.4299,-10703.3141,19.9311,-1861.9957,0.2454,-268.699,0.439,6971.9707,0.0999,8248.4605,0.2455,8397.5345,0.0018,134905688.4,0.263,-87850.655,0.245,N,1932,22-Jan-08,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,10/18/23
56,80,Ba,4.8334,0.0046,7.85,0.24,,0,,,0+,STABLE,,,,,,,,,,,,,,,,-1.9,0.2,-0.19,0.06,-2849.5915,53.1715,-10314.9397,9.43,-2033.0205,0.2448,-2548.224,1.889,9107.7424,0.039,8594.0937,0.2886,8402.7566,0.0018,135904575.8,0.262,-88887.079,0.245,N,1932,1-Apr-18,E.A. MCCUTCHAN,10/18/23
56,81,Ba,4.8314,0.0047,11.23,0.23,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.9375,0.0002,0.236,0.003,-580.5356,1.6231,-9755.2312,53.1715,-2502.7336,2.4128,-1175.629,0.391,6905.6397,0.0687,8671.5169,1.8582,8391.8288,0.0018,136905827.2,0.266,-87721.401,0.248,N,1932,1-Oct-06,E. BROWNE and  J. K. TULI,10/18/23
56,82,Ba,4.8378,0.0046,71.7,0.29,,0,,,0+,STABLE,,,,,,,,,,,,,,,,5.9,1.2,,,-1748.3977,0.3384,-9192.2586,1.6235,-2560.8872,0.2494,-5374.778,9.161,8611.723,0.0399,9005.0045,0.1768,8393.4222,0.0018,137905247.1,0.267,-88261.806,0.249,N,1925,30-Sep-17,JUN CHEN,10/18/23
57,82,La,4.855,0.0049,99.91119,0.00071,,0,,,7/2+,STABLE,,,,,,,,,,,,,,,,2.7791,0.0002,0.206,0.004,-264.6396,1.9989,-7727.8323,0.7857,-2065.3402,0.7072,-2308.463,0.658,8780.2909,0.7355,6249.5462,0.6558,8377.9987,0.0044,138906362.9,0.651,-87222.381,0.607,N,1924,15-Oct-16,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,10/18/23
58,78,Ce,4.8739,0.0018,0.186,0.002,,0,,,0+,STABLE,,,,,,2EC,,,,,,,,,,,,,,-5168.129,11.4561,-13643.996,11.8219,-498.5626,1.102,-471.062,53.172,9963.5603,10.2663,7154.0633,9.4324,8373.7624,0.0024,135907129.3,0.348,-86508.55,0.324,N,1936,1-Apr-18,E.A. MCCUTCHAN,10/18/23
58,82,Ce,4.8771,0.0018,88.449,0.051,,0,,,0+,STABLE,,,,,,,,,,,,,,,,4.06,0.15,0.35,0.07,-3388,6,-11316.8927,3.8389,-1612.0637,1.3354,-3762.168,1.447,9187.8037,2.4044,8140.8172,1.3364,8376.3045,0.0094,139905448.4,1.409,-88074.227,1.313,N,1925,20-Nov-18,N. NICA,10/18/23
59,82,Pr,4.8919,0.005,100,,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,4.266,0.003,-0.077,0.006,-1823.0137,2.809,-9828.6052,3.5877,-1298.5841,2.2209,-583.475,1.993,9399.6246,6.1151,5229.2776,1.181,8353.9852,0.0106,140907659.6,1.607,-86014.533,1.498,N,1924,12-Oct-22,N. NICA,10/18/23
60,82,Nd,4.9123,0.0025,27.153,0.04,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-4808.5196,23.6216,-13498.4416,14.0287,-809.1047,1.3515,-2163.688,1.955,9829.8537,3.1237,7224.493,1.3663,8346.031,0.0088,141907728.8,1.348,-85950.055,1.256,N,1924,1-Jun-10,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,10/18/23
60,83,Nd,4.9254,0.0026,12.173,0.026,,0,,,7/2-,STABLE,,,,,,,,,,,,,,,,-1.065,0.005,-0.61,0.02,-1041.6463,2.683,-10932.0926,23.6215,530.5151,2.415,-934.11,2.2,6123.573,0.0694,7504.9145,1.3662,8330.4893,0.0088,142909819.8,1.347,-84002.31,1.255,N,1933,31-May-11,E. BROWNE and  J. K. TULI,10/18/23
60,85,Nd,4.9535,0.0028,8.293,0.012,,0,,,7/2-,STABLE,,,,,,,,,,,,,,,,-0.656,0.004,-0.314,0.012,-164.4982,2.5361,-8087.206,2.6557,1574.1374,1.4683,-1806.014,7.261,5755.2943,0.2306,7970.3873,2.4111,8309.1883,0.0088,144912579.2,1.364,-81432.004,1.271,N,1933,1-Oct-08,E. BROWNE and  J. K. TULI,10/18/23
60,86,Nd,4.9696,0.003,17.189,0.032,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.58,0.06,-0.78,0.09,-1471.556,4.1194,-7729.7281,2.5374,1182.0635,2.2117,-4252.43,34.38,7565.2299,0.0872,8588.897,7.0371,8304.0927,0.0087,145913122.5,1.366,-80925.916,1.273,N,1924,14-Jul-16,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,10/18/23
60,88,Nd,4.9999,0.0036,5.756,0.021,,0,,,0+,STABLE,,,,,,2B-,,,,,,,,,,1.6,0.3,-1.46,0.13,-542.1891,5.8755,-6437.3998,1.7342,598.9604,3.0372,-4872.614,15.18,7332.5894,1.6554,9252.9438,15.9408,8277.1778,0.0139,147916899,2.203,-77408.066,2.053,N,1937,1-Oct-13,N. NICA,10/18/23
62,82,Sm,4.9524,0.0034,3.08,0.04,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.6,0.3,,,-6346.4515,10.8092,-15795.6333,11.0821,-133.2956,3.5719,-549.51,3.25,10519.8093,2.3488,6293.9332,2.7154,8303.68,0.0101,143912006.3,1.566,-81965.626,1.459,N,1933,1-Dec-00,A.A. Sonzogni,10/18/23
62,87,Sm,5.0134,0.0035,13.82,0.1,,0,,,7/2-,STABLE,,,,,,,,,,,,,,,,-0.6677,0.0011,0.075,0.008,-694.5812,3.7881,-8909.734,9.9776,1871.1905,0.9714,-1071.494,2.472,5871.1496,0.8862,7558.9924,5.5709,8263.4683,0.0078,148917191.2,1.241,-77135.898,1.157,N,1933,23-Aug-22,Balraj Singh and Jun Chen,10/18/23
62,88,Sm,5.0387,0.0048,7.37,0.09,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.82,0.14,-1.3,0.2,-2258.9662,6.1803,-8681.3369,3.7787,1449.6648,0.9664,-3454,20,7986.7556,0.377,8275.9022,1.9071,8261.6235,0.0074,149917282,1.193,-77051.336,1.112,N,1934,1-Apr-13,S. K. Basu and  A. A. Sonzogni,10/18/23
62,90,Sm,5.0819,0.006,26.74,0.09,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.8,0.6,-1.666,0.016,-1874.4774,0.6857,-8181.1972,0.6849,220.1726,1.9325,-3508.509,25.924,8257.8154,0.6056,8665.6882,4.5161,8244.0645,0.0067,151919738.6,1.09,-74762.977,1.016,N,1933,31-Aug-13,M. J. MARTIN,10/18/23
62,92,Sm,5.1053,0.0067,22.74,0.14,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.35,0.15,,,-717.1969,1.1019,-7159.4153,1.0828,-1200.5284,1.0516,-4188.962,25.055,7966.8226,0.846,9096.5315,9.0935,8226.8379,0.0085,153922215.8,1.4,-72455.564,1.305,N,1933,1-May-08,C. W. Reich,10/18/23
63,90,Eu,5.1115,0.0062,52.19,0.06,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,1.5294,0.0011,2.41,0.02,-484.5225,0.715,-6731.4809,0.7077,272.0222,1.9861,-807.407,1.556,8550.2846,0.1198,5893.4602,0.6935,8228.7011,0.0077,152921236.8,1.257,-73367.466,1.171,N,1933,16-Aug-20,N. NICA,10/18/23
64,90,Gd,5.1223,0.004,2.18,0.02,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.96,0.06,-1.82,0.04,-3549.6514,45.2983,-10464.0661,3.8471,920.0617,0.6537,-1967.991,1.549,8894.7322,0.1651,7627.8627,0.7264,8224.7996,0.0065,153920873,1.066,-73706.358,0.994,N,1938,1-May-08,C. W. Reich,10/18/23
64,91,Gd,5.1319,0.0041,14.8,0.09,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,-0.2591,0.0004,1.27,0.03,-819.8588,9.7884,-9984.9096,45.2987,81.2659,0.6691,-251.961,1.592,6435.2581,0.182,7620.9025,0.7722,8213.2541,0.0063,154922629.4,1.055,-72070.298,0.983,N,1933,21-Oct-19,N. NICA,10/18/23
64,92,Gd,5.142,0.0042,20.47,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,3.24,0.11,-1.93,0.04,-2444.323,3.6774,-9356.2119,9.7882,-197.2718,0.3303,-2452.489,3.666,8536.3531,0.0656,8005.9673,0.8704,8215.3253,0.0063,155922130.1,1.054,-72535.333,0.983,N,1933,1-Mar-12,C. W. REICH,10/18/23
64,93,Gd,5.1449,0.0042,15.65,0.04,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,-0.3398,0.0006,1.35,0.03,-60.0473,0.2972,-8804.2034,3.6805,-688.7523,0.3854,-1364.762,4.345,6359.8805,0.149,8030.0226,3.4113,8203.5072,0.0062,156923967.4,1.048,-70823.896,0.977,N,1933,4-Dec-15,N. NICA,10/18/23
64,94,Gd,5.1569,0.0043,24.84,0.08,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.55,0.12,-2.01,0.04,-1219.0862,0.9799,-7997.4392,0.3042,-659.3217,0.8962,-3419.508,2.254,7937.3919,0.0646,8519.8063,4.1969,8201.8229,0.0062,157924111.2,1.048,-70689.969,0.976,N,1933,1-Feb-17,N. NICA,10/18/23
64,96,Gd,5.1734,0.0044,21.86,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.5,0.2,-2.08,0.04,-105.5863,1.0207,-6480.7964,1.0184,-1006.2406,8.5036,-4448.611,1.442,7451.5206,0.7346,9187.6453,4.3645,8183.0171,0.007,159927061.2,1.206,-67942.06,1.123,N,1933,1-May-21,N. NICA,10/18/23
65,94,Tb,5.06,0.15,100,,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,2.009,0.004,1.432,0.008,-365.3613,1.1573,-7196.7477,2.4188,-139.1605,1.1453,-970.725,1.475,8133.0163,0.6383,6131.5832,0.7471,8188.8025,0.0069,158925353.7,1.184,-69532.582,1.103,N,1933,31-Dec-10,C. W. Reich,10/18/23
66,90,Dy,5.1622,0.2869,0.056,0.003,,0,,,0+,STABLE,,,,,,2EC,,,,,,,,,,,,,,-4990.9836,38.4111,-12560.9057,17.4635,1753.0013,0.3013,-438.376,3.895,9444.7652,9.602,6567.9182,9.7877,8192.4366,0.0063,155924283.6,1.06,-70529.386,0.988,N,1948,1-Mar-12,C. W. REICH,10/18/23
66,92,Dy,5.1815,0.3023,0.095,0.003,,0,,,0+,STABLE,,,,,,,,,,,,,,,,3.3,1,,,-4219.7555,27.0048,-11645.6076,23.5582,874.2903,2.4013,-936.269,2.659,9053.8008,5.1246,6932.2747,2.4093,8190.1298,0.0148,157924414.8,2.509,-70407.152,2.337,N,1938,1-Feb-17,N. NICA,10/18/23
66,94,Dy,5.1951,0.3139,2.329,0.018,,0,,,0+,STABLE,,,,,,,,,,,,,,,,3.1,0.6,1.8,0.4,-3290,15,-10414.1231,3.0223,437.9921,0.9994,-1835.951,1.312,8576.5231,1.3908,7428.8147,1.0945,8184.0526,0.0044,159925203.6,0.751,-69672.425,0.7,N,1938,1-May-21,N. NICA,10/18/23
66,95,Dy,5.1962,0.0459,18.889,0.042,,0,,,5/2+,STABLE,,,,,,A,,,,,,,,,,-0.479,0.003,2.51,0.02,-859.2003,2.1368,-9744.3869,15.0002,343.4857,0.9912,-593.716,1.403,6454.3869,0.0757,7507.9916,1.0998,8173.3093,0.0043,160926939.4,0.748,-68055.494,0.697,N,1934,1-Jun-11,C. W. Reich,10/18/23
